date,high,low,close,open,impact,trades,shares
2014-10-07,82.2,82.2,82.2,82,0.24,3,2583
2014-10-09,87,82.2,85.5,82.2,4.01,17,1616
2014-10-10,87.5,87.5,87.5,85.5,2.34,1,10
2014-10-13,84,80.5,83.4,87.5,-4.69,22,21985
2014-10-14,82,80.3,80.6,83.4,-3.36,11,2075
2014-10-15,84,82,82.3,80.6,2.11,11,9514
2014-10-16,83,82,82,82.3,-0.36,7,63921
2014-10-17,85,81.1,83.1,82,1.34,29,21516
2014-10-20,85,84,84,83.1,1.08,20,20304
2014-10-21,84.1,84,84,84,0,6,1704
2014-10-23,84,84,84,84,0,5,22115
2014-10-24,85,84.2,84.7,84,0.83,10,1367
2014-10-27,86,85.1,85.8,84.7,1.3,11,1166
2014-10-28,88.1,85.1,86.3,85.8,0.58,13,965
2014-10-29,88,87.9,88,86.3,1.97,6,3300
2014-10-30,90.9,88,90,88,2.27,28,142007
2014-10-31,91,90,90,90,0,22,29155
2014-11-03,91,90.5,90.7,90,0.78,15,11064
2014-11-04,91,90,91,90.7,0.33,4,653
2014-11-05,90,88,90,91,-1.1,7,693
2014-11-07,90,88.2,90,90,0,6,482
2014-11-10,90.5,89.1,90.5,90,0.56,5,612
2014-11-11,88.1,88.1,88.1,90.5,-2.65,2,200
2014-11-12,88.1,88,88.1,88.1,0,3,2300
2014-11-13,88.5,88,88,88.1,-0.11,6,3564
2014-11-14,88.9,87.8,88.8,88,0.91,10,3666
2014-11-17,88.9,87,87.9,88.8,-1.01,8,5226
2014-11-18,88,88,88,87.9,0.11,7,4800
2014-11-19,88.9,88,88.1,88,0.11,7,4680
2014-11-20,88.8,88,88,88.1,-0.11,3,2794
2014-11-21,88,87,87,88,-1.14,10,8500
2014-11-24,87,86,86.6,87,-0.46,12,11359
2014-11-25,88,86,86,86.6,-0.69,7,1602
2014-11-26,90,84.1,88.2,86,2.56,3,501
2014-11-27,90,90,90,88.2,2.04,1,200
2014-12-02,88,88,88,90,-2.22,2,100
2014-12-03,89,89,89,88,1.14,2,379
2014-12-04,86,82,86,89,-3.37,19,2217
2014-12-05,86,86,86,86,0,1,2
2014-12-09,82.1,82.1,82.1,86,-4.53,1,10
2014-12-12,85,80,85,82.1,3.53,2,102
2014-12-18,88,80,87.9,85,3.41,4,76
2014-12-24,89.4,89.4,89.4,87.9,1.71,8,325
2015-01-02,88.5,83,85.1,89.4,-4.81,10,3392
2015-01-06,85.1,85.1,85.1,85.1,0,1,1000
2015-01-12,85,85,85,85.1,-0.12,1,1000
2015-01-13,88.4,83.5,88,85,3.53,9,1630
2015-01-19,85,85,85,88,-3.41,3,708
2015-01-21,87,87,87,85,2.35,1,1
2015-01-22,85,85,85,87,-2.3,1,100
2015-01-23,85,85,85,85,0,2,201
2015-01-26,89.5,85,86.1,85,1.29,9,2111
2015-01-27,85.6,85.6,85.6,86.1,-0.58,1,5
2015-01-28,90,88.8,90,85.6,5.14,40,10123
2015-02-02,87,86,86,90,-4.44,3,100
2015-02-09,86,86,86,86,0,1,3
2015-02-13,87.5,87.5,87.5,86,1.74,2,200
2015-02-16,87.5,83,84.5,87.5,-3.43,7,4340
2015-02-18,90,87.9,89.7,84.5,6.15,5,2803
2015-02-20,88.8,81,82.9,89.7,-7.58,12,2966
2015-02-23,81,80,80,82.9,-3.5,16,2187
2015-02-24,84.5,82,84,80,5,4,408
2015-02-25,84.9,84,84.9,84,1.07,4,1300
2015-02-26,86.7,84.9,85.5,84.9,0.71,5,712
2015-03-02,86,80.4,82.3,85.5,-3.74,15,1720
2015-03-03,80.5,80.5,80.5,82.3,-2.19,1,1
2015-03-04,84.8,84.8,84.8,80.5,5.34,1,1
2015-03-06,84,84,84,84.8,-0.94,1,5
2015-03-09,80.4,80.4,80.4,84,-4.29,2,129
2015-03-10,80.5,79.7,80,80.4,-0.5,6,1821
2015-03-11,83.8,83.8,83.8,80,4.75,1,1
2015-03-23,81,75.2,81,83.8,-3.34,12,1271
