horizon,mse,rmse,mae,mape,coverage
24 days 00:00:00.000000000,4.715645367500352,2.171553675942723,1.7479091113870129,0.08502487687514688,0.4056603773584906
24 days 00:00:00.000000000,4.714272008195113,2.1712374370840037,1.7475566071833442,0.08499959569980298,0.4056603773584906
24 days 00:00:00.000000000,4.715469923186674,2.1715132795326566,1.7495525937709628,0.08512385589150306,0.4056603773584906
24 days 00:00:00.000000000,4.745234869899271,2.178356001644192,1.7634475724347143,0.08575606086281987,0.39622641509433965
24 days 00:00:00.000000000,4.7963169068629075,2.190049521554914,1.7834294759973388,0.08683044970594478,0.3867924528301887
25 days 00:00:00.000000000,4.754081666597109,2.1803856692331083,1.7678665660519808,0.08616793575407314,0.39622641509433965
25 days 00:00:00.000000000,4.803371355051611,2.191659497972167,1.783794205653344,0.08687295369707,0.3867924528301887
25 days 00:00:00.000000000,4.835288304611164,2.198928899398788,1.8009387013652638,0.08768546785854998,0.37735849056603776
25 days 00:00:00.000000000,4.916570416249778,2.217334078629059,1.8123168098533686,0.08856890368258416,0.37735849056603776
25 days 00:00:00.000000000,4.874644668584425,2.207859748395361,1.7955693214628938,0.08776533920636909,0.3867924528301887
26 days 00:00:00.000000000,4.906239956379367,2.215003376155298,1.8029634863518682,0.08832497645512101,0.3867924528301887
26 days 00:00:00.000000000,4.8794645037612545,2.208950996233564,1.794262485981617,0.08790709446438316,0.39622641509433965
26 days 00:00:00.000000000,4.798344546287232,2.1905123935479645,1.776642934649112,0.08683516308016417,0.39622641509433965
26 days 00:00:00.000000000,4.940927947947984,2.2228198190469657,1.8020466501190398,0.08826166693021002,0.39622641509433965
26 days 00:00:00.000000000,4.946979124170914,2.2241805511628128,1.805489788833796,0.08848273698472978,0.39622641509433965
26 days 00:00:00.000000000,4.979710826401568,2.231526568607591,1.81414435948713,0.08852131276713573,0.3867924528301887
27 days 00:00:00.000000000,4.950357500349467,2.22493988690694,1.7975672967116907,0.08767040657395503,0.39622641509433965
27 days 00:00:00.000000000,4.8996142986686815,2.2135072393531225,1.786130884274901,0.08749460952283902,0.39622641509433965
27 days 00:00:00.000000000,4.964506574842004,2.22811727133964,1.806850939268051,0.08864296907676229,0.3867924528301887
27 days 00:00:00.000000000,4.958688197756234,2.2268112173590815,1.805697966425815,0.08868335254512945,0.3867924528301887
27 days 00:00:00.000000000,5.018075671943121,2.2401061742567294,1.8169252009497712,0.08914092060261798,0.3867924528301887
28 days 00:00:00.000000000,5.053588023300537,2.2480186883788438,1.8299447753698346,0.08989022270198868,0.37735849056603776
28 days 00:00:00.000000000,5.020122773229038,2.2405630482601997,1.8136078354816851,0.0890337226870114,0.3867924528301887
28 days 00:00:00.000000000,5.0188097063704245,2.2402700074701762,1.8134056571578245,0.08914838349328766,0.3867924528301887
28 days 00:00:00.000000000,5.087574608748675,2.2555652526026986,1.8309653911788977,0.08977653289525844,0.37735849056603776
28 days 00:00:00.000000000,5.071677944263463,2.252038619620779,1.8225833873419435,0.08921597397784344,0.37735849056603776
28 days 00:00:00.000000000,5.120913817563755,2.262943617849052,1.8377236131970531,0.09014278744474365,0.36792452830188677
28 days 00:00:00.000000000,5.121705054183473,2.263118435739383,1.8398167679452717,0.09025925275378562,0.36792452830188677
29 days 00:00:00.000000000,5.209156972898281,2.2823577661922947,1.8608812744089835,0.09143751476206875,0.3584905660377358
29 days 00:00:00.000000000,5.242294707015029,2.2896057972967814,1.8755304605511167,0.09223728448720321,0.3490566037735849
29 days 00:00:00.000000000,5.2218618236177585,2.285139344464087,1.8647870924123875,0.0917699574189172,0.3584905660377358
29 days 00:00:00.000000000,5.191589330114234,2.278505942523353,1.8491158738553468,0.09086230394176657,0.36792452830188677
29 days 00:00:00.000000000,5.168377659394858,2.273406619897738,1.8411029206560339,0.09045615764788738,0.37735849056603776
29 days 00:00:00.000000000,5.106012800768845,2.2596488224431788,1.8224214528777527,0.08949329578968314,0.3867924528301887
29 days 00:00:00.000000000,5.095464555330328,2.257313570448361,1.8142071274468647,0.08908456946359007,0.3867924528301887
29 days 00:00:00.000000000,4.8935929661145385,2.212146687295971,1.7877857640431176,0.08804505844714781,0.3867924528301887
29 days 00:00:00.000000000,4.861395717708174,2.204857300985298,1.780400874194532,0.08783735145939185,0.3867924528301887
29 days 00:00:00.000000000,4.725517623052095,2.1738255732813743,1.7594445256280964,0.08667694549692899,0.3867924528301887
30 days 00:00:00.000000000,4.74416682917604,2.1781108395065756,1.7723304771526602,0.087417026267848,0.37735849056603776
30 days 00:00:00.000000000,4.682524464787811,2.163914153747281,1.7528156020214196,0.08623031341148388,0.3867924528301887
30 days 00:00:00.000000000,4.611041840357565,2.14733365836741,1.7393085807311646,0.08531800964750787,0.3867924528301887
