date,high,low,close,open,trades,shares,turnover
2014-04-04,34.1,34,34,34.2,7,200,"6,805.00"
2014-04-07,34.9,33.5,34,34,14,"3,722","126,576.80"
2014-04-08,33.7,33.6,33.6,34,5,"4,500","151,310.00"
2014-04-09,35,33.6,33.6,33.6,16,"8,903","299,741.00"
2014-04-10,33.9,33.5,33.9,33.6,18,"9,120","307,698.00"
2014-04-11,34.4,33.8,33.9,33.9,10,"2,075","70,270.00"
2014-04-16,34,34,34,33.9,3,976,"33,184.00"
2014-04-17,35.1,34.5,35,34,4,100,"3,498.70"
2014-04-21,35,34,35,35,10,601,"20,460.00"
2014-04-22,34,34,34,35,1,1,34
2014-04-23,34.1,34,34,34,5,"1,100","37,410.50"
2014-04-24,34.1,33.9,34,34,11,"10,501","356,934.70"
2014-04-25,34.9,34.9,34.9,34,2,400,"13,960.00"
2014-04-28,35.5,34.1,35,34.9,17,"10,399","360,633.10"
2014-04-29,35,34.7,34.9,35,3,321,"11,209.00"
2014-04-30,35.7,34.2,34.5,34.9,10,"3,600","123,538.80"
2014-05-02,36.3,35.7,36.1,34.5,14,"7,521","271,718.20"
2014-05-05,36.9,36.2,36.9,36.1,19,"2,400","87,560.70"
2014-05-07,36.2,35.1,35.5,36.9,13,"1,552","55,138.50"
2014-05-08,35.5,35,35.1,35.5,5,"7,937","278,454.50"
2014-05-09,35.2,35,35.1,35.1,15,"13,258","466,160.00"
2014-05-12,35,34.6,34.9,35.1,10,"6,380","221,248.00"
2014-05-13,35,34.6,34.6,34.9,10,"11,427","395,772.80"
2014-05-16,34.9,34.8,34.8,34.6,17,"39,010","1,357,549.00"
2014-05-19,35.9,34.8,35,34.8,22,"11,998","419,931.70"
2014-05-20,35,34.8,34.9,35,6,"11,910","416,538.00"
2014-05-21,34.8,34.7,34.7,34.9,2,225,"7,810.00"
2014-05-22,34.8,34.5,34.6,34.7,6,"2,354","81,436.00"
2014-05-23,34.5,34.2,34.3,34.6,17,"7,008","240,035.70"
2014-05-26,34.5,34.1,34.1,34.3,7,"7,200","247,160.00"
2014-05-27,34.5,33.9,34,34.1,18,"316,507","10,761,149.80"
2014-05-29,34,33.6,33.7,34,6,"2,529","85,175.60"
2014-05-30,34,33.6,33.7,33.7,9,"6,411","216,253.70"
2014-06-02,33.7,33,33.2,33.7,27,"26,129","868,405.10"
2014-06-03,33.7,32,33.7,33.2,21,"48,545","1,601,389.30"
2014-06-04,36,33.9,35.8,33.7,51,"217,062","7,499,685.40"
2014-06-05,37,35,35.6,35.8,62,"113,031","4,012,064.00"
2014-06-06,36.8,35.7,35.7,35.6,22,"12,888","460,480.70"
2014-06-09,36.7,35.5,36.7,35.7,18,"11,852","423,328.30"
2014-06-10,36.5,36,36,36.7,23,"31,185","1,125,582.10"
2014-06-11,37.5,36.4,37,36,67,"73,576","2,707,512.70"
2014-06-13,37.2,36.5,36.6,37,15,"9,816","360,043.90"
2014-06-16,37.5,36.6,37,36.6,11,"14,068","522,475.40"
2014-06-17,37.5,36.7,36.9,37,17,"39,518","1,458,780.80"
2014-06-18,37.3,36.7,37,36.9,35,"35,128","1,297,208.60"
2014-06-19,37.3,36.8,37.2,37,12,"5,350","197,953.40"
2014-06-20,37.6,36.5,37,37.2,30,"51,289","1,923,065.00"
2014-06-23,37.6,37,37.5,37,26,"53,851","2,018,257.60"
2014-06-24,37.5,37,37.5,37.5,21,"40,045","1,501,187.50"
2014-06-25,38,37.1,37.5,37.5,19,"19,282","723,044.90"
2014-06-26,38,37.3,37.8,37.5,20,"20,773","780,626.10"
2014-06-27,37.7,37.5,37.5,37.8,8,"8,007","300,263.90"
2014-06-30,38,37.4,37.5,37.5,26,"46,026","1,726,557.60"
2014-07-01,38,37.2,37.5,37.5,24,"10,892","407,612.50"
2014-07-02,39.6,37.5,39,37.5,97,"109,814","4,256,305.30"
2014-07-03,40,39.3,39.3,39,24,"219,351","8,663,371.60"
2014-07-04,39.5,38.4,39.1,39.3,32,"28,560","1,115,279.00"
2014-07-07,39.1,38.5,38.5,39.1,9,"11,816","456,286.00"
2014-07-08,39.4,38.5,39,38.5,39,"144,917","5,648,770.50"
2014-07-09,39.5,38.8,39.1,39,34,"110,857","4,330,630.70"
2014-07-10,41.1,39,40.9,39.1,74,"179,323","7,170,053.10"
2014-07-11,41,40.4,40.4,40.9,9,"4,067","164,907.00"
2014-07-14,42,40,41,40.4,16,"9,266","371,913.00"
2014-07-15,41,40,40,41,8,"3,986","161,300.00"
2014-07-16,40,39.3,39.3,40,20,"23,647","942,379.00"
2014-07-17,39.9,39,39,39.3,24,"39,951","1,559,657.70"
2014-07-18,39,38.3,39,39,2,137,"5,247.80"
2014-07-21,39.9,39,39.2,39,9,"1,955","76,860.90"
2014-07-22,39.9,38.7,39.7,39.2,9,"2,102","83,017.40"
2014-07-23,42,39.9,40.5,39.7,29,"53,101","2,133,398.80"
2014-07-24,41.7,41,41.5,40.5,14,"9,634","400,107.50"
2014-07-25,41.4,40,40.1,41.5,15,"12,068","486,412.40"
2014-07-28,40,39.6,40,40.1,11,"24,632","985,238.70"
2014-07-30,40.9,40,40.6,40,5,544,"22,104.40"
2014-07-31,40.4,39.6,40,40.6,4,581,"23,208.40"
2014-08-01,40.8,39.3,40.7,40,11,"12,510","504,838.00"
2014-08-04,39.6,39.5,39.5,40.7,6,"1,150","45,440.00"
2014-08-05,39.2,36,37.6,39.5,23,"16,650","604,097.50"
2014-08-06,40,39,39.8,37.6,38,"71,347","2,838,425.00"
2014-08-07,40.1,39.2,40,39.8,20,"88,851","3,515,149.50"
2014-08-08,40,39.3,39.4,40,13,"19,015","749,480.00"
2014-08-11,39.5,39.1,39.3,39.4,4,"1,508","59,366.00"
2014-08-12,39.9,38.7,39.1,39.3,27,"22,687","883,266.90"
2014-08-13,40,38.9,39.7,39.1,29,"34,175","1,357,076.50"
2014-08-14,40,39,39.3,39.7,24,"27,300","1,085,222.50"
2014-08-15,38.8,37.5,37.5,39.3,35,"59,758","2,249,847.20"
2014-08-18,37.9,37,37,37.5,18,"15,629","578,495.60"
2014-08-19,37.9,36.7,37,37,14,"6,695","247,675.00"
2014-08-20,37,36,36.2,37,37,"91,268","3,306,779.50"
2014-08-21,36.1,35.3,35.5,36.2,30,"41,600","1,478,023.00"
2014-08-22,37,36,36.5,35.5,15,"23,366","849,576.00"
2014-08-25,36.5,36.5,36.5,36.5,1,500,"18,250.00"
2014-08-26,36.5,36,36.3,36.5,21,"40,302","1,462,760.00"
2014-08-27,38.6,36.4,36.5,36.3,11,"7,158","261,646.90"
2014-08-28,38.4,36.9,36.9,36.5,12,"20,542","758,484.30"
2014-08-29,37.5,37,37.3,36.9,4,"9,200","343,760.00"
2014-09-01,37,36.8,36.8,37.3,9,"5,610","207,459.00"
2014-09-02,36.7,36,36.3,36.8,18,"34,701","1,260,083.00"
2014-09-03,36.5,36.2,36.3,36.3,5,"5,075","184,022.50"
2014-09-04,36.2,36,36.2,36.3,18,"16,726","603,181.00"
2014-09-05,37.1,36.5,36.9,36.2,46,"123,565","4,564,290.00"
2014-09-09,37,36.5,36.5,36.9,8,"49,045","1,813,760.00"
2014-09-10,37,36.7,36.7,36.5,12,"10,529","388,786.10"
2014-09-11,36.9,36.8,36.9,36.7,6,"1,091","40,255.90"
2014-09-12,36.9,36.6,36.6,36.9,22,"16,780","617,597.60"
2014-09-15,36.5,36,36.2,36.6,12,"2,212","80,109.00"
2014-09-16,36.2,36,36,36.2,16,"5,090","183,304.00"
2014-09-17,36.2,35.8,36,36,13,"4,113","148,075.50"
2014-09-19,36.5,36,36.2,36,18,"11,816","429,544.00"
