date,high,low,close,open,trades,shares,turnover,
2013-10-15,32,30,30.1,30,15,"44,396","1,390,093.00",
2013-10-17,32,30,32,30.1,5,"4,452","141,922.00",
2013-10-21,32,29.2,32,32,3,400,"12,300.00",
2013-10-22,30.5,30.5,30.5,32,1,174,"5,307.00",
2013-10-24,31.2,31.2,31.2,30.5,1,9,280.8,
2013-10-25,34,30.4,32,31.2,11,535,"17,459.10",
2013-10-28,32.8,30,32.4,32,8,"10,218","311,591.30",
2013-10-29,30.5,30.5,30.5,32.4,1,100,"3,050.00",
2013-10-30,30.4,30.4,30.4,30.5,2,100,"3,040.00",
2013-10-31,34,31.7,34,30.4,37,"49,365","1,641,735.60",
2013-11-01,34.7,32,34.7,34,2,3,98.7,
2013-11-04,32,30.1,30.8,34.7,6,514,"15,881.60",
2013-11-05,30.3,30.2,30.3,30.8,4,101,"3,060.20",
2013-11-07,30.3,30.3,30.3,30.3,2,200,"6,060.00",
2013-11-13,31.8,28.8,31.8,30.3,7,449,"13,052.20",
2013-11-14,30.1,29.9,29.9,31.8,4,577,"17,278.20",
2013-11-15,31.9,30.1,30.1,29.9,4,203,"6,112.10",
2013-11-18,31.9,31.9,31.9,30.1,2,100,"3,190.00",
2013-11-21,29,29,29,31.9,2,278,"8,062.00",
2013-11-22,29.1,29,29.1,29,2,100,"2,905.00",
2013-11-25,29,29,29,29.1,2,9,261,
2013-11-26,29,29,29,29,1,1,29,
2013-11-27,29,29,29,29,2,300,"8,700.00",
2013-11-28,29,28.5,29,29,4,205,"5,942.50",
2013-12-02,29,28.5,28.5,29,4,200,"5,750.00",
2013-12-03,27.6,27.5,27.5,28.5,10,476,"13,096.00",
2013-12-04,30,28,28.9,27.5,11,"1,251","36,123.10",
2013-12-05,30,30,30,28.9,1,100,"3,000.00",
2013-12-06,28,28,28,30,1,1,28,
2013-12-11,30.9,30.9,30.9,28,1,50,"1,545.00",
2013-12-13,30,28.2,29.2,30.9,3,175,"5,115.00",
2013-12-17,29,28.2,29,29.2,2,103,"2,984.60",
2013-12-18,29,29,29,29,1,100,"2,900.00",
2013-12-19,30.8,30.8,30.8,29,1,2,61.6,
2013-12-23,29.2,29.2,29.2,30.8,2,129,"3,766.80",
2013-12-24,30.4,30.4,30.4,29.2,2,118,"3,587.20",
2013-12-26,30.8,29.3,30.8,30.4,4,256,"7,795.80",
2013-12-27,31.4,31.4,31.4,30.8,3,171,"5,369.40",
2013-12-31,29.3,29.3,29.3,31.4,1,200,"5,860.00",
2014-01-03,31.5,30.1,30.1,29.3,2,"1,100","34,510.00",
2014-01-06,32.5,30.5,32.5,30.1,11,"1,113","34,596.00",
2014-01-07,32.5,32.5,32.5,32.5,3,100,"3,250.00",
2014-01-08,30.7,30.7,30.7,32.5,1,114,"3,499.80",
2014-01-09,31.5,31.5,31.5,30.7,1,100,"3,150.00",
2014-01-10,32.9,32.5,32.9,31.5,5,185,"6,080.50",
2014-01-13,38,30.1,33.8,32.9,38,"4,395","146,348.60",
2014-01-17,30.6,30.6,30.6,33.8,1,100,"3,060.00",
2014-01-21,33,31,31.1,30.6,7,474,"14,737.60",
2014-01-23,31.4,31.1,31.4,31.1,2,200,"6,250.00",
2014-01-24,31.4,31.2,31.4,31.4,3,"5,400","168,540.00",
2014-01-29,32,31.2,31.2,31.4,5,460,"14,559.00",
2014-02-03,32.6,32,32.6,31.2,2,438,"14,266.80",
2014-02-05,33,32.6,32.9,32.6,5,534,"17,561.60",
2014-02-06,33,33,33,32.9,2,500,"16,500.00",
2014-02-07,33,33,33,33,1,200,"6,600.00",
2014-02-10,35,33,33.1,33,2,210,"6,950.00",
2014-02-11,36,32.5,32.5,33.1,3,121,"3,936.00",
2014-02-12,34,32.5,34,32.5,12,"2,328","79,005.20",
2014-02-13,32.6,32.6,32.6,34,1,10,326,
2014-02-17,32.5,32.5,32.5,32.6,2,115,"3,737.50",
2014-02-19,34.9,30.2,31,32.5,3,60,"1,859.00",
2014-02-20,35,30.1,30.3,31,4,137,"4,156.60",
2014-02-24,30.5,30.5,30.5,30.3,1,100,"3,050.00",
2014-02-25,34.5,30.6,34.2,30.5,9,354,"11,717.60",
2014-02-28,31.6,31,31.6,34.2,2,26,806.6,
2014-03-03,31.7,31.7,31.7,31.6,1,20,634,
2014-03-04,31.9,31.9,31.9,31.7,3,11,350.9,
2014-03-05,31.9,31.8,31.8,31.9,3,290,"9,232.00",
2014-03-06,33,31.9,32.9,31.8,8,"2,147","70,561.00",
2014-03-11,33,33,33,32.9,4,371,"12,243.00",
2014-03-12,33.9,33,33,33,2,22,727.8,
2014-03-18,31,31,31,33,2,100,"3,100.00",
2014-03-19,34,33.9,33.9,31,7,24,813.9,
2014-03-20,34.4,31.3,32.9,33.9,2,2,65.7,
2014-03-24,30.8,30.8,30.8,32.9,1,100,"3,080.00",
2014-03-26,30.9,30.9,30.9,30.8,1,15,463.5,
2014-03-27,30.8,30.8,30.8,30.9,2,6,184.8,
2014-03-31,30.9,30.4,30.7,30.8,7,"1,000","30,769.60",
2014-04-01,30.7,30.7,30.7,30.7,1,100,"3,070.00",
2014-04-04,30.8,30.7,30.7,30.7,3,332,"10,194.50",
2014-04-10,30.7,30.7,30.7,30.7,4,400,"12,280.00",
2014-04-16,34.5,34.5,34.5,30.7,2,2,69,
2014-04-22,32.1,31.7,32,34.5,5,301,"9,624.00",
2014-04-23,32.1,32.1,32.1,32,1,46,"1,476.60",
2014-04-24,34.1,32.1,32.1,32.1,9,424,"13,616.40",
2014-04-25,32.1,32,32.1,32.1,5,800,"25,640.00",
2014-04-28,33.8,33.3,33.5,32.1,4,397,"13,310.10",
2014-04-29,32.1,32.1,32.1,33.5,1,100,"3,210.00",
2014-04-30,34,32.1,34,32.1,15,"1,415","47,305.50",
2014-05-02,35,34.6,34.9,34,5,205,"7,145.10",
2014-05-05,35,34,34,34.9,5,39,"1,350.40",
2014-05-06,32.3,32.3,32.3,34,1,100,"3,230.00",
2014-05-07,32.5,32.5,32.5,32.3,2,200,"6,500.00",
2014-05-08,32.5,32.5,32.5,32.5,5,"1,000","32,500.00",
2014-05-09,34.9,33.9,34,32.5,7,693,"23,712.20",
2014-05-12,34,34,34,34,5,154,"5,236.00",
2014-05-16,34,34,34,34,5,"1,051","35,734.00",
2014-05-19,32.3,32,32.2,34,5,700,"22,523.00",
2014-05-20,32.2,32.2,32.2,32.2,1,100,"3,220.00",
2014-05-22,32,28,32,32.2,4,125,"3,600.00",
2014-05-23,32,31,32,32,8,98,"3,085.70",
2014-05-26,32,30.8,31.6,32,3,3,94.8,
2014-05-27,33.8,31.6,32,31.6,10,174,"5,570.30",
2014-05-28,33.8,33.8,33.8,32,1,5,169,
2014-05-29,33.7,33.7,33.7,33.8,4,146,"4,920.20",
2014-05-30,33.7,32.1,32.1,33.7,12,22,716.7,
2014-06-02,33.7,33.6,33.6,32.1,3,51,"1,718.60",
2014-06-03,33.5,30.7,30.7,33.6,7,"1,105","33,974.50",
2014-06-04,33.7,31.3,33.6,30.7,18,"1,373","45,888.10",
2014-06-05,34.6,34.3,34.4,33.6,5,63,"2,173.30",
2014-06-06,34.8,34.6,34.8,34.4,7,39,"1,355.40",
2014-06-09,34.9,34.8,34.8,34.8,5,319,"11,114.20",
2014-06-10,35.5,33.2,34.8,34.8,15,317,"11,077.20",
2014-06-11,35.5,34.8,35.5,34.8,4,25,877.7,
