date,high,low,close,open,trades,shares,turnover,
2013-08-15,33.3,33,33.3,32.1,7,"1,566","52,106.10",
2013-08-16,32,32,32,33.3,2,266,"8,512.00",
2013-08-19,33.3,31.9,32.3,32,16,609,"19,808.20",
2013-08-28,32,30.2,32,32.3,4,122,"3,867.40",
2013-08-29,33,31,32.2,32,4,300,"9,659.00",
2013-08-30,32.5,30,30,32.2,6,702,"22,062.50",
2013-09-02,30,30,30,30,1,2,60,
2013-09-04,29,29,29,30,3,95,"2,755.00",
2013-09-05,33,30,32.3,29,7,500,"16,155.60",
2013-09-10,32.9,29,29,32.3,19,"5,312","154,763.50",
2013-09-11,30.5,28.6,29.9,29,9,"1,199","35,964.90",
2013-09-12,31.5,30,30.8,29.9,6,"1,524","46,399.20",
2013-09-13,31,31,31,30.8,1,8,248,
2013-09-16,31,28.9,31,31,3,104,"3,216.00",
2013-09-18,35,31,32,31,10,"16,000","511,789.00",
2013-09-20,35,33.9,34.8,32,11,"9,000","313,179.00",
2013-09-25,35,34,34.6,34.8,9,"1,000","34,637.00",
2013-09-26,36,32.3,35.8,34.6,15,"10,338","362,803.00",
2013-09-27,36,31.7,35.7,35.8,13,"1,232","43,015.20",
2013-09-30,35,31.1,35,35.7,10,"2,312","78,907.70",
2013-10-02,36,31.7,35.5,35,11,"2,080","72,686.00",
2013-10-03,36,32.7,35.7,35.5,4,302,"10,835.40",
2013-10-04,39,33.2,36.7,35.7,38,"14,095","510,133.10",
2013-10-07,38.4,37.9,38,36.7,5,202,"7,687.70",
2013-10-08,37.9,37.9,37.9,38,1,2,75.8,
2013-10-09,38,34.8,37.8,37.9,24,"12,303","464,860.50",
2013-10-10,37.8,35,37.8,37.8,2,602,"22,750.00",
2013-10-11,37.7,35.1,36.2,37.8,11,"1,303","47,220.10",
2013-10-14,36,35.2,35.9,36.2,2,277,"9,950.40",
2013-10-15,37.4,37.4,37.4,35.9,1,1,37.4,
2013-10-17,37.7,35,36.1,37.4,22,"4,149","149,808.50",
2013-10-21,36.8,35.3,36,36.1,8,688,"24,486.80",
2013-10-22,36,34.2,35.1,36,13,"1,220","42,840.40",
2013-10-23,36.9,34.4,35.5,35.1,12,640,"22,737.30",
2013-10-24,37.5,35.5,37,35.5,15,"2,939","108,782.80",
2013-10-25,40,36,36,37,11,"7,300","271,070.60",
2013-10-28,38.9,38.9,38.9,36,1,100,"3,890.00",
2013-10-31,38.8,35.1,38,38.9,22,"2,515","93,222.40",
2013-11-01,38.5,36.4,38.5,38,2,5,184.1,
2013-11-04,38.4,35.6,38.3,38.5,7,419,"15,729.80",
2013-11-05,36.1,35.6,36.1,38.3,3,284,"10,160.40",
2013-11-06,38.1,37.7,37.9,36.1,2,200,"7,580.00",
2013-11-07,38.9,38.1,38.4,37.9,7,400,"15,358.40",
2013-11-12,38.1,35.3,36.7,38.4,5,364,"13,353.60",
2013-11-13,38.2,36,38.2,36.7,4,330,"12,166.00",
2013-11-14,38,35.8,37.6,38.2,10,"1,100","40,970.00",
2013-11-15,37.5,36.1,37.5,37.6,3,289,"10,582.90",
2013-11-18,36.5,36,36.1,37.5,12,907,"32,709.00",
2013-11-19,38.5,37,37.7,36.1,10,"1,300","48,968.50",
2013-11-21,38.4,35.6,38.3,37.7,9,962,"35,770.20",
2013-11-22,38.3,36,36.5,38.3,13,"1,601","58,306.00",
2013-11-25,38.4,36,37.4,36.5,9,"2,281","85,267.90",
2013-11-26,40,35.9,39.8,37.4,34,"13,984","540,787.40",
2013-11-27,39.9,38.9,39.5,39.8,8,"2,900","114,593.40",
2013-12-05,39,36.6,38.1,39.5,23,"11,636","431,767.30",
2013-12-06,39.8,37.2,39.8,38.1,23,"344,233","13,677,488.20",
2013-12-12,43,36.3,40,39.8,28,"351,428","14,049,131.40",
2013-12-17,37.7,37.7,37.7,40,1,2,75.4,
2013-12-18,38,38,38,37.7,3,141,"5,358.00",
2013-12-19,39,38,39,38,7,"1,220","46,570.00",
2013-12-23,38,36.2,36.3,39,7,"1,033","37,870.60",
2013-12-24,36.4,36.4,36.4,36.3,1,5,182,
2013-12-26,37,36.4,37,36.4,2,115,"4,254.40",
2013-12-27,38.9,37.5,38.8,37,7,"365,200","14,187,446.00",
2014-01-02,38,37,38,38.8,2,834,"31,691.00",
2014-01-03,39.9,38.5,39.8,38,4,"382,000","15,221,590.00",
2014-01-06,39.3,37.1,39.3,39.8,3,107,"4,189.70",
2014-01-08,39.5,39,39.5,39.3,2,100,"3,946.00",
2014-01-09,39,38.9,39,39.5,2,34,"1,324.60",
2014-01-10,39,37.1,38.9,39,4,104,"4,049.30",
2014-01-13,38,38,38,38.9,2,133,"5,054.00",
2014-01-16,39,37.5,38.6,38,15,"2,800","107,576.40",
