date,high,low,close,open,trades,shares,turnover
2015-03-13,37,36.3,36.4,37,5,"1,121","40,804.00"
2015-03-16,37,36.4,36.8,36.4,3,"1,600","58,840.00"
2015-03-17,36.6,36.5,36.5,36.8,3,"2,030","74,098.00"
2015-03-18,36.5,36.5,36.5,36.5,1,100,"3,650.00"
2015-03-19,36.4,36.4,36.4,36.5,1,9,327.6
2015-03-20,36.5,36.5,36.5,36.4,2,"1,000","36,500.00"
2015-03-23,36.4,36.3,36.3,36.5,3,"2,570","93,541.00"
2015-03-24,36.3,35.7,35.9,36.3,18,"2,709","97,442.50"
2015-03-25,35.5,35.5,35.5,35.9,1,1,35.5
2015-03-26,35.7,35.7,35.7,35.5,3,"3,500","124,950.00"
2015-03-27,35.8,35,35.3,35.7,12,"8,225","291,302.00"
2015-03-30,35.9,35,35.1,35.3,13,"11,879","416,420.00"
2015-04-01,36.3,36.3,36.3,35.1,2,7,254.1
2015-04-02,36.3,31.2,31.4,36.3,2,21,660.3
2015-04-07,34,34,34,31.4,1,7,238
2015-04-08,36.3,36.3,36.3,34,1,1,36.3
2015-04-09,36.3,36.3,36.3,36.3,5,"2,999","108,863.70"
2015-04-10,36.3,36,36.3,36.3,6,"3,151","114,366.30"
2015-04-16,36.3,36.3,36.3,36.3,4,999,"36,263.70"
2015-04-17,37,37,37,36.3,1,1,37
2015-04-20,37,37,37,37,1,10,370
2015-04-21,36.9,35.1,36.8,37,2,310,"11,421.00"
2015-04-22,37,36.9,36.9,36.8,7,904,"33,357.80"
2015-04-23,36.9,36.5,36.5,36.9,2,15,549.5
2015-04-27,37.5,37.3,37.4,36.5,5,"1,800","67,340.00"
2015-04-28,37.4,37.4,37.4,37.4,1,1,37.4
2015-04-29,36.5,34.6,36,37.4,4,398,"14,192.90"
2015-04-30,35.5,35.2,35.3,36,4,"5,000","176,600.00"
2015-05-07,37,35.4,37,35.3,2,201,"7,117.00"
2015-05-08,37,36.5,36.9,37,8,"6,500","239,705.20"
2015-05-11,37.3,35.1,37.2,36.9,6,360,"13,183.00"
2015-05-12,37.8,37.1,37.8,37.2,17,"29,356","1,104,854.00"
2015-05-14,37.5,35.5,35.6,37.8,21,"16,178","576,158.50"
2015-05-18,35.7,35.2,35.2,35.6,3,100,"3,521.10"
2015-05-19,36.6,36.6,36.6,35.2,1,100,"3,660.00"
2015-05-20,44,38.6,39.6,36.6,176,"144,095","5,755,684.30"
2015-05-21,40.4,39.7,40,39.6,69,"17,349","695,362.70"
2015-05-22,40.4,39.9,40.2,40,44,"25,748","1,029,515.20"
2015-05-25,40,39.5,39.9,40.2,10,"1,561","62,303.90"
2015-05-26,40,39.5,39.7,39.9,11,"5,948","236,006.00"
2015-05-27,39.5,39.1,39.3,39.7,4,"2,998","117,721.80"
2015-05-28,39.9,38.6,39.9,39.3,12,"3,025","119,529.70"
2015-05-29,38.6,37.5,37.8,39.9,66,"48,671","1,851,606.60"
2015-06-01,38.5,37,37.1,37.8,20,"11,920","447,140.00"
2015-06-03,39.2,39.2,39.2,37.1,2,10,392
2015-06-04,39,39,39,39.2,1,5,195
2015-06-05,38.7,37,37,39,11,"3,105","115,009.20"
2015-06-08,37.5,37.1,37.4,37,7,"4,180","156,162.60"
2015-06-09,37.3,37.1,37.3,37.4,7,"19,477","725,986.70"
2015-06-10,37.3,37.3,37.3,37.3,1,300,"11,190.00"
