date,high,low,closing,open,trades,shares,turnover
2014-10-20,85,84,84,83.1,20,"20,304","1,708,536.00"
2014-10-21,84.1,84,84,84,6,"1,704","143,166.00"
2014-10-23,84,84,84,84,5,"22,115","1,857,660.00"
2014-10-24,85,84.2,84.7,84,10,"1,367","115,221.60"
2014-10-27,86,85.1,85.8,84.7,11,"1,166","99,991.10"
2014-10-28,88.1,85.1,86.3,85.8,13,965,"83,787.70"
2014-10-29,88,87.9,88,86.3,6,"3,300","290,374.00"
2014-10-30,90.9,88,90,88,28,"142,007","12,771,142.90"
2014-10-31,91,90,90,90,22,"29,155","2,626,831.20"
2014-11-03,91,90.5,90.7,90,15,"11,064","1,002,520.40"
2014-11-04,91,90,91,90.7,4,653,"59,233.00"
2014-11-05,90,88,90,91,7,693,"61,142.00"
2014-11-07,90,88.2,90,90,6,482,"43,229.00"
2014-11-10,90.5,89.1,90.5,90,5,612,"55,382.60"
2014-11-11,88.1,88.1,88.1,90.5,2,200,"17,620.00"
2014-11-12,88.1,88,88.1,88.1,3,"2,300","202,410.00"
2014-11-13,88.5,88,88,88.1,6,"3,564","313,684.50"
2014-11-14,88.9,87.8,88.8,88,10,"3,666","322,678.00"
2014-11-17,88.9,87,87.9,88.8,8,"5,226","459,862.00"
2014-11-18,88,88,88,87.9,7,"4,800","422,400.00"
2014-11-19,88.9,88,88.1,88,7,"4,680","412,024.50"
2014-11-20,88.8,88,88,88.1,3,"2,794","245,872.80"
2014-11-21,88,87,87,88,10,"8,500","744,502.00"
2014-11-24,87,86,86.6,87,12,"11,359","987,374.00"
2014-11-25,88,86,86,86.6,7,"1,602","139,840.90"
2014-11-26,90,84.1,88.2,86,3,501,"44,194.10"
2014-11-27,90,90,90,88.2,1,200,"18,000.00"
2014-12-02,88,88,88,90,2,100,"8,800.00"
2014-12-03,89,89,89,88,2,379,"33,731.00"
2014-12-04,86,82,86,89,19,"2,217","185,318.00"
2014-12-05,86,86,86,86,1,2,172
2014-12-09,82.1,82.1,82.1,86,1,10,821
2014-12-12,85,80,85,82.1,2,102,"8,660.00"
2014-12-18,88,80,87.9,85,4,76,"6,655.00"
2014-12-24,89.4,89.4,89.4,87.9,8,325,"29,055.00"
2015-01-02,88.5,83,85.1,89.4,10,"3,392","288,758.00"
2015-01-06,85.1,85.1,85.1,85.1,1,"1,000","85,100.00"
2015-01-12,85,85,85,85.1,1,"1,000","85,000.00"
2015-01-13,88.4,83.5,88,85,9,"1,630","138,820.60"
2015-01-19,85,85,85,88,3,708,"60,180.00"
2015-01-21,87,87,87,85,1,1,87
2015-01-22,85,85,85,87,1,100,"8,500.00"
2015-01-23,85,85,85,85,2,201,"17,085.00"
2015-01-26,89.5,85,86.1,85,9,"2,111","181,168.50"
2015-01-27,85.6,85.6,85.6,86.1,1,5,428
2015-01-28,90,88.8,90,85.6,40,"10,123","910,140.40"
2015-02-02,87,86,86,90,3,100,"8,603.00"
2015-02-09,86,86,86,86,1,3,258
2015-02-13,87.5,87.5,87.5,86,2,200,"17,500.00"
2015-02-16,87.5,83,84.5,87.5,7,"4,340","363,600.20"
2015-02-18,90,87.9,89.7,84.5,5,"2,803","251,520.30"
2015-02-20,88.8,81,82.9,89.7,12,"2,966","246,673.10"
2015-02-23,81,80,80,82.9,16,"2,187","175,368.00"
2015-02-24,84.5,82,84,80,4,408,"34,070.50"
2015-02-25,84.9,84,84.9,84,4,"1,300","110,352.00"
2015-02-26,86.7,84.9,85.5,84.9,5,712,"60,853.60"
2015-03-02,86,80.4,82.3,85.5,15,"1,720","141,066.80"
