horizon,mse,rmse,mae,mape,coverage
21 days 00:00:00.000000000,5.8403639667394955,2.4166844987998526,1.6834138388463178,0.12986298069828656,0.3691275167785235
21 days 00:00:00.000000000,5.852018170523786,2.4190944939220103,1.68736022730745,0.13041176305384,0.3691275167785235
21 days 00:00:00.000000000,5.721317259000584,2.3919275195959813,1.666342791918429,0.12897916844887827,0.3691275167785235
22 days 00:00:00.000000000,5.728459905617413,2.393420127269221,1.6720264276593715,0.12958485984866636,0.3624161073825503
22 days 00:00:00.000000000,5.725733739665451,2.3928505468719625,1.6711272789321185,0.12950457871230447,0.3624161073825503
22 days 00:00:00.000000000,5.72621154850546,2.392950385717485,1.6713666800480615,0.12946175854874406,0.3624161073825503
22 days 00:00:00.000000000,5.754953940274662,2.398948507216164,1.6840722398831498,0.13055166218592773,0.35570469798657717
22 days 00:00:00.000000000,5.573468049520013,2.360819359781687,1.6525457559072712,0.12868745549002494,0.3624161073825503
22 days 00:00:00.000000000,5.740723971125069,2.3959807952329397,1.6848679510648914,0.1307897104294931,0.35570469798657717
22 days 00:00:00.000000000,5.737436831963061,2.39529472757802,1.6805514319737591,0.13055011867352578,0.35570469798657717
22 days 00:00:00.000000000,5.7596172523238565,2.3999202595761084,1.687559446018916,0.13073497724365907,0.35570469798657717
22 days 00:00:00.000000000,5.750848155982871,2.3980926078829548,1.684489332843439,0.13080091320187098,0.35570469798657717
23 days 00:00:00.000000000,5.748934411687986,2.3976935608388295,1.6835779929553234,0.13088426889195975,0.35570469798657717
23 days 00:00:00.000000000,5.759986998535534,2.399997291360041,1.6911992448270623,0.1315024638960558,0.348993288590604
23 days 00:00:00.000000000,5.790536259943456,2.4063533115366615,1.699899457517395,0.1317048949073757,0.348993288590604
23 days 00:00:00.000000000,5.773545046001352,2.402820227566214,1.6923857275825855,0.1311174690661224,0.35570469798657717
23 days 00:00:00.000000000,5.639095495109435,2.3746779771390973,1.6697379902464347,0.12992160993366933,0.35570469798657717
23 days 00:00:00.000000000,5.776555159871094,2.4034465169566586,1.6918358508734737,0.1314827245941277,0.35570469798657717
23 days 00:00:00.000000000,5.775768268696558,2.403282810802041,1.691312444033461,0.1316757095563444,0.35570469798657717
23 days 00:00:00.000000000,5.789363609666467,2.406109642070882,1.7000882016981662,0.13245216240394186,0.348993288590604
24 days 00:00:00.000000000,5.622507189121715,2.3711826562122362,1.6742650227697977,0.13057501418495454,0.348993288590604
24 days 00:00:00.000000000,5.622335174840381,2.3711463841020826,1.6740431986622648,0.13064256506755853,0.348993288590604
24 days 00:00:00.000000000,5.605676859384176,2.3676310648798675,1.6647638650274887,0.13013967072280241,0.35570469798657717
24 days 00:00:00.000000000,5.597897303792885,2.3659875958662346,1.6617484538492644,0.1298872113118435,0.35570469798657717
24 days 00:00:00.000000000,5.606588890664285,2.367823661226546,1.6651435971032533,0.1299352922164378,0.35570469798657717
24 days 00:00:00.000000000,5.605292296975933,2.367549851001227,1.6642240172781504,0.12985454490977777,0.35570469798657717
24 days 00:00:00.000000000,5.6145463294723825,2.369503393007147,1.6696556329890875,0.13034678346247502,0.348993288590604
24 days 00:00:00.000000000,5.760070506345545,2.4000146887770386,1.7000132465565199,0.13237032629026868,0.3422818791946309
24 days 00:00:00.000000000,5.760027628963411,2.4000057560271415,1.6999781414646806,0.1324372237806932,0.3422818791946309
24 days 00:00:00.000000000,5.801566097567474,2.4086440371228526,1.715538812104667,0.13321818327353308,0.33557046979865773
25 days 00:00:00.000000000,5.794419843732348,2.4071601200859796,1.7086311077570124,0.1328027617458051,0.3422818791946309
25 days 00:00:00.000000000,5.930591717344558,2.4352806239414293,1.7321498896051943,0.13421912376273554,0.3422818791946309
25 days 00:00:00.000000000,5.938901392502392,2.436986128910543,1.7395261671218163,0.13486503338913955,0.33557046979865773
25 days 00:00:00.000000000,5.940091711123679,2.437230336083087,1.7400326623947753,0.13521110554756197,0.33557046979865773
25 days 00:00:00.000000000,5.945214095543363,2.438280971410671,1.741720416727458,0.13509611107903086,0.33557046979865773
25 days 00:00:00.000000000,5.955025202531077,2.4402920322230037,1.7480832510027406,0.13570371496813657,0.3288590604026846
25 days 00:00:00.000000000,5.954556305958192,2.4401959564670603,1.7471754561013202,0.13560617095821204,0.3288590604026846
25 days 00:00:00.000000000,5.999743047752761,2.4494372920637835,1.7571791460043797,0.13606070605349926,0.3288590604026846
26 days 00:00:00.000000000,5.823757718169017,2.413246302839604,1.724548641645153,0.13354196039223393,0.33557046979865773
26 days 00:00:00.000000000,5.832272059946168,2.4150097432404216,1.7309403248746997,0.13406624114552804,0.3288590604026846
26 days 00:00:00.000000000,5.832653524903996,2.415088719882563,1.7311014896162307,0.13410083878449597,0.3288590604026846
26 days 00:00:00.000000000,5.650593226024054,2.3770976475576377,1.697857975517569,0.13152415476782203,0.33557046979865773
