date	colombo_stock_exchange	dhammika_perera	singer_sri_lanka	hayleys	jedb	kelani_valley	exports	tea_board	ceylon_tea	ceylon_tea	russia	sri_lankan_tea	green_tea	turkey	china_tea	tea_exports	hayleys	tea_export	lucille	company_act	indian_tea	max_value	kw_max	daily_news_vector_sum	high	low	close	open	trades	shares	turnover	high_1	low_1	close_1	open_1	trades_1	shares_1	turnover_1	impact	isImpacted
2017-05-26	1.0	0.0	0.0	0.17	-0.0	0.0	0.19	0.0	0.43	0.53	0.14	0.35	-0.0	0.42	0.0	-0.0	-0.17	0.0	-0.0	-0.0	0.0	1.0	colombo stock exchange	4.0600000000000005	90.0	85.5	97.0	97.0	7.0	42.0	3689.1	9.36	3.89	0.0	0.0	250.0	10.53	17.96	0.2584	
2017-05-29	0.21	0.0	0.0	0.18	-0.0	0.0	0.2	0.0	0.0	0.0	0.21	0.0	-0.29	0.0	0.0	-0.0	-0.18	0.0	-0.0	-0.51	0.0	-0.51	company act	-0.69	90.0	86.3	87.5	97.0	7.0	1773.0	157269.9	0.0	0.94	-9.79	0.0	0.0	4121.43	4163.1	-7.5297	1.0
2017-05-31	0.59	0.0	0.0	0.17	-0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	-0.0	0.14	0.0	-0.0	-0.17	0.0	-0.0	-0.0	0.0	0.59	colombo stock exchange	1.87	88.1	88.1	87.5	87.5	2.0	25.0	2202.5	-2.11	2.09	0.0	-9.79	-71.43	-98.59	-98.6	-5.1491	1.0
2017-06-01	0.47	0.0	0.0	0.48	-0.0	0.0	0.18	0.29	0.0	0.0	0.39	0.0	-0.0	0.13	0.0	-0.0	-0.48	0.0	-0.0	-0.0	0.0	-0.48	hayleys	0.98	93.5	87.6	91.4	87.5	9.0	310.0	28336.0	6.13	-0.57	4.46	0.0	350.0	1140.0	1186.54	0.6054	
2017-06-02	0.0	0.26	0.0	0.33	-0.0	0.0	0.0	0.29	0.41	0.39	0.47	0.0	-0.55	0.13	0.0	-0.0	-0.33	0.0	-0.0	-0.0	0.0	-0.55	green tea	0.8499999999999999	93.7	87.6	93.6	91.4	6.0	540.0	50355.0	0.21	0.0	2.41	4.46	-33.33	74.19	77.71	4.0	
2017-06-05	0.29	0.0	0.0	0.17	-0.0	0.0	0.78	0.0	0.21	0.27	0.2	0.0	-0.0	0.28	0.0	-0.0	-0.17	0.0	-0.0	-0.0	0.0	0.78	exports	2.8100000000000005	94.5	86.0	94.1	93.6	9.0	1450.0	134042.6	0.85	-1.83	0.53	2.41	50.0	168.52	166.2	2.6732	
2017-06-07	0.19	0.26	0.0	0.17	-0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	-0.28	0.0	0.0	-0.0	-0.17	0.0	-0.0	-0.48	0.0	-0.48	company act	-0.66	95.0	92.0	93.0	94.1	5.0	600.0	55779.6	0.53	6.98	-1.17	0.53	-44.44	-58.62	-58.39	-0.0269	
2017-06-09	0.79	0.0	0.0	0.17	-0.0	0.91	0.0	0.0	0.0	0.0	0.48	0.0	-0.85	0.0	0.0	-0.0	-0.17	0.0	-0.0	-0.0	0.0	0.91	kelani valley	2.24	94.9	92.0	93.5	93.0	15.0	4054.0	378919.6	-0.11	0.0	0.54	-1.17	200.0	575.67	579.32	-0.0534	
2017-06-15	0.39	0.0	0.0	0.16	-0.0	0.0	0.0	0.0	0.21	0.26	0.0	0.34	-0.0	0.27	0.0	-0.0	-0.16	0.0	-0.0	-0.0	0.0	0.39	colombo stock exchange	1.86	91.1	80.1	93.5	93.5	3.0	21.0	1694.1	-4.0	-12.93	0.0	0.54	-80.0	-99.48	-99.55	-0.0267	
2017-06-20	0.19	0.25	0.0	0.0	-0.0	0.0	0.0	0.29	0.0	0.26	0.33	0.0	-0.54	0.13	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.54	green tea	0.3699999999999999	93.9	93.9	93.5	93.5	1.0	1.0	93.9	3.07	17.23	0.0	0.0	-66.67	-95.24	-94.46	0.1339	
